AQ40,Amulet of Foul Warding,Neck,Misc
AQ40,Amulet of Vek'nilash,Neck,Misc
AQ40,Ancient Qiraji Ripper,One-Hand,Sword
AQ40,Angelista's Charm,Neck,Misc
AQ40,Angelista's Touch,Finger,Misc
AQ40,Anubisath Warhammer,One-Hand,Mace
AQ40,Badge of the Swarmguard,Trinket,Misc
AQ40,Barb of the Sand Reaver,Two-Hand,Polearm
AQ40,Barbed Choker,Neck,Misc
AQ40,Barrage Shoulders,Shoulder,Mail
AQ40,Beetle Scaled Wristguards,Wrist,Leather
AQ40,Belt of Never-ending Agony,Waist,Leather
AQ40,Belt of the Fallen Emperor,Waist,Plate
AQ40,Bile-Covered Gauntlets,Hands,Leather
AQ40,Boots of Epiphany,Feet,Cloth
AQ40,Boots of the Fallen Hero,Feet,Plate
AQ40,Boots of the Fallen Prophet,Feet,Mail
AQ40,Boots of the Redeemed Prophecy,Feet,Plate
AQ40,Boots of the Unwavering Will,Feet,Plate
AQ40,Bracelets of Royal Redemption,Wrist,Cloth
AQ40,Breastplate of Annihilation,Chest,Plate
AQ40,Burrower Bracers,Wrist,Cloth
AQ40,Cape of the Trinity,Back,Cloth
AQ40,Cloak of Clarity,Back,Cloth
AQ40,Cloak of Concentrated Hatred,Back,Cloth
AQ40,Cloak of the Devoured,Back,Cloth
AQ40,Cloak of the Golden Hive,Back,Cloth
AQ40,Cloak of Untold Secrets,Back,Cloth
AQ40,Creeping Vine Helm,Head,Leather
AQ40,Dark Edge of Insanity,Two-Hand,Axe
AQ40,Dark Storm Gauntlets,Hands,Cloth
AQ40,Death's Sting,One-Hand,Dagger
AQ40,Don Rigoberto's Lost Hat,Head,Cloth
AQ40,Eye of C'Thun,,Consumable
AQ40,Eyestalk Waist Cord,Waist,Cloth
AQ40,Fetish of the Sand Reaver,Trinket,Misc
AQ40,Garb of Royal Ascension,Chest,Cloth
AQ40,Gauntlets of Annihilation,Hands,Plate
AQ40,Gauntlets of Kalimdor,Hands,Mail
AQ40,Gauntlets of Steadfast Determination,Hands,Plate
AQ40,Gauntlets of the Righteous Champion,Hands,Plate
AQ40,Gloves of Ebru,Hands,Leather
AQ40,Gloves of Enforcement,Hands,Leather
AQ40,Gloves of the Hidden Temple,Hands,Leather
AQ40,Gloves of the Messiah,Hands,Cloth
AQ40,Grasp of the Fallen Emperor,Waist,Mail
AQ40,Grasp of the Old God,Waist,Cloth
AQ40,Guise of the Devourer,Head,Leather
AQ40,Hammer of Ji'zhi,Two-Hand,Mace
AQ40,Hive Defiler Wristguards,Wrist,Plate
AQ40,Hive Tunneler's Boots,Feet,Leather
AQ40,Huhuran's Stinger,Ranged,Bow
AQ40,Idol of Health,Relic,Idol
AQ40,Jom Gabbar,Trinket,Misc
AQ40,Kalimdor's Revenge,Two-Hand,Sword
AQ40,Larvae of the Great Worm,Ranged,Gun
AQ40,Leggings of Immersion,Legs,Leather
AQ40,Leggings of the Festering Swarm,Legs,Cloth
AQ40,Legplates of Blazing Light,Legs,Plate
AQ40,Libram of Grace,Relic,Libram
AQ40,Mantle of Phrenic Power,Shoulder,Cloth
AQ40,Mantle of the Desert Crusade,Shoulder,Plate
AQ40,Mantle of the Desert's Fury,Shoulder,Mail
AQ40,Mantle of Wicked Revenge,Shoulder,Leather
AQ40,Mark of C'Thun,Neck,Misc
AQ40,Necklace of Purity,Neck,Misc
AQ40,"Neretzek, The Blood Drinker",Two-Hand,Axe
AQ40,Ooze-ridden Gauntlets,Hands,Plate
AQ40,Pauldrons of the Unrelenting,Shoulder,Plate
AQ40,Pendant of the Qiraji Guardian,Neck,Misc
AQ40,Petrified Scarab,Trinket,Misc
AQ40,Qiraji Execution Bracers,Wrist,Leather
AQ40,Recomposed Boots,Feet,Cloth
AQ40,Regenerating Belt of Vek'nilash,Waist,Leather
AQ40,Ring of Emperor Vek'lor,Finger,Misc
AQ40,Ring of Swarming Thought,Finger,Misc
